scenario_id,version,component,layer,projection_onto_DA_direction
100034,A,attn,0,-0.09892304241657257
100034,A,mlp,0,-0.21403531730175018
100034,A,resid_post,0,-0.33549243211746216
100034,A,attn,1,-0.2535373568534851
100034,A,mlp,1,0.30406951904296875
100034,A,resid_post,1,-0.2646733820438385
100034,A,attn,2,-0.1000310480594635
100034,A,mlp,2,0.1956426203250885
100034,A,resid_post,2,-0.31263232231140137
100034,A,attn,3,0.10899300873279572
100034,A,mlp,3,0.540729820728302
100034,A,resid_post,3,0.8289345502853394
100034,A,attn,4,-0.043372586369514465
100034,A,mlp,4,0.2023133933544159
100034,A,resid_post,4,1.1188265085220337
100034,A,attn,5,-0.36870092153549194
100034,A,mlp,5,2.1040148735046387
100034,A,resid_post,5,1.238270878791809
100034,A,attn,6,0.253926545381546
100034,A,mlp,6,1.0676109790802002
100034,A,resid_post,6,2.2733020782470703
100034,A,attn,7,0.5155386924743652
100034,A,mlp,7,-0.20939266681671143
100034,A,resid_post,7,1.5986192226409912
100034,A,attn,8,-0.35640719532966614
100034,A,mlp,8,-0.6776221990585327
100034,A,resid_post,8,1.9896944761276245
100034,A,attn,9,0.7040815949440002
100034,A,mlp,9,0.028289198875427246
100034,A,resid_post,9,3.47025990486145
100034,A,attn,10,0.07435901463031769
100034,A,mlp,10,3.23549222946167
100034,A,resid_post,10,6.446122169494629
100034,A,attn,11,0.5260087251663208
100034,A,mlp,11,1.132432222366333
100034,A,resid_post,11,14.069657325744629
100034,A,attn,12,-0.2050221711397171
100034,A,mlp,12,-0.23101601004600525
100034,A,resid_post,12,6.779383182525635
100034,A,attn,13,0.2948268949985504
100034,A,mlp,13,1.3272547721862793
100034,A,resid_post,13,9.063301086425781
100034,A,attn,14,0.4264073371887207
100034,A,mlp,14,-2.5826358795166016
100034,A,resid_post,14,2.3435611724853516
100034,A,attn,15,-0.18759378790855408
100034,A,mlp,15,-1.703600525856018
100034,A,resid_post,15,-2.8098442554473877
100034,A,attn,16,0.07218214869499207
100034,A,mlp,16,-0.7473509311676025
100034,A,resid_post,16,0.2887880802154541
100034,A,attn,17,0.026121269911527634
100034,A,mlp,17,0.7281097173690796
100034,A,resid_post,17,4.451781749725342
100034,A,attn,18,0.5699864625930786
100034,A,mlp,18,-4.07026481628418
100034,A,resid_post,18,-1.6913244724273682
100034,A,attn,19,-1.5981016159057617
100034,A,mlp,19,-2.746912956237793
100034,A,resid_post,19,-7.156146049499512
100034,A,attn,20,-0.35948246717453003
100034,A,mlp,20,-3.67756986618042
100034,A,resid_post,20,-7.746432304382324
100034,A,attn,21,0.8024967908859253
100034,A,mlp,21,2.6006457805633545
100034,A,resid_post,21,-4.843755722045898
100034,A,attn,22,-3.1520862579345703
100034,A,mlp,22,-5.561350345611572
100034,A,resid_post,22,-14.037613868713379
100034,A,attn,23,-3.848935604095459
100034,A,mlp,23,-14.865961074829102
100034,A,resid_post,23,-39.743492126464844
100034,A,attn,24,-3.441190242767334
100034,A,mlp,24,-16.527223587036133
100034,A,resid_post,24,-58.730003356933594
100034,A,attn,25,-2.0731093883514404
100034,A,mlp,25,-16.658477783203125
100034,A,resid_post,25,-72.1240005493164
100034,A,attn,26,-3.9085707664489746
100034,A,mlp,26,-14.407892227172852
100034,A,resid_post,26,-91.92696380615234
100034,A,attn,27,-7.325934410095215
