pair,donor,receiver,experiment,direction,site,layer,n,mean_effect,mean_aligned_effect,median_aligned_effect,flip_rate,source_answer_rate,target_answer_rate,mean_original_margin,mean_patched_margin
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,0,85,13.686029411764705,13.686029411764705,14.359375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.913235294117648
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,1,85,13.690808823529412,13.690808823529412,14.359375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.918014705882353
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,2,85,13.700551470588236,13.700551470588236,14.375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.927757352941176
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,3,85,13.728308823529412,13.728308823529412,14.421875,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.955514705882353
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,4,85,13.707904411764705,13.707904411764705,14.375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.935110294117647
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,5,85,13.671323529411765,13.671323529411765,14.375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.898529411764706
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,6,85,13.58658088235294,13.58658088235294,14.234375,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.813786764705883
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,7,85,13.007720588235294,13.007720588235294,13.671875,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.234926470588235
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,8,85,13.019485294117647,13.019485294117647,13.765625,0.9882352941176471,1.0,0.0,-0.7727941176470589,12.246691176470588
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,9,85,12.490257352941176,12.490257352941176,13.03125,0.9882352941176471,1.0,0.0,-0.7727941176470589,11.717463235294117
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,10,85,11.760845588235295,11.760845588235295,12.40625,0.9882352941176471,1.0,0.0,-0.7727941176470589,10.988051470588236
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,11,85,10.599632352941176,10.599632352941176,11.3125,0.9764705882352941,0.9882352941176471,0.011764705882352941,-0.7727941176470589,9.826838235294117
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,12,85,8.787867647058823,8.787867647058823,9.4375,0.9529411764705882,0.9647058823529412,0.03529411764705882,-0.7727941176470589,8.015073529411765
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,13,85,6.5167279411764705,6.5167279411764705,6.828125,0.9529411764705882,0.9647058823529412,0.03529411764705882,-0.7727941176470589,5.743933823529412
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,14,85,5.106066176470589,5.106066176470589,5.15625,0.9647058823529412,0.9764705882352941,0.023529411764705882,-0.7727941176470589,4.333272058823529
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,15,85,2.9220588235294116,2.9220588235294116,2.9375,0.9058823529411765,0.9176470588235294,0.08235294117647059,-0.7727941176470589,2.149264705882353
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,16,85,1.5926470588235293,1.5926470588235293,1.53125,0.8117647058823529,0.8235294117647058,0.17647058823529413,-0.7727941176470589,0.8198529411764706
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,17,85,0.6683823529411764,0.6683823529411764,0.65625,0.47058823529411764,0.4823529411764706,0.5176470588235295,-0.7727941176470589,-0.10441176470588236
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,18,85,0.0838235294117647,0.0838235294117647,0.0625,0.08235294117647059,0.07058823529411765,0.9294117647058824,-0.7727941176470589,-0.6889705882352941
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,19,85,0.0011029411764705882,0.0011029411764705882,0.0,0.011764705882352941,0.023529411764705882,0.9764705882352941,-0.7727941176470589,-0.7716911764705883
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,20,85,0.0,0.0,0.0,0.0,0.011764705882352941,0.9882352941176471,-0.7727941176470589,-0.7727941176470589
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,21,85,-0.001838235294117647,-0.001838235294117647,0.0,0.011764705882352941,0.0,1.0,-0.7727941176470589,-0.7746323529411765
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,22,85,0.0014705882352941176,0.0014705882352941176,0.0,0.023529411764705882,0.011764705882352941,0.9882352941176471,-0.7727941176470589,-0.7713235294117647
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,23,85,0.001838235294117647,0.001838235294117647,0.0,0.011764705882352941,0.0,1.0,-0.7727941176470589,-0.7709558823529412
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,24,85,0.0014705882352941176,0.0014705882352941176,0.0,0.0,0.011764705882352941,0.9882352941176471,-0.7727941176470589,-0.7713235294117647
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,25,85,0.0007352941176470588,0.0007352941176470588,0.0,0.011764705882352941,0.023529411764705882,0.9764705882352941,-0.7727941176470589,-0.7720588235294118
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,26,85,0.0029411764705882353,0.0029411764705882353,0.0,0.011764705882352941,0.0,1.0,-0.7727941176470589,-0.7698529411764706
base_to_ci,base,ci,both_span_AD,A_to_D,both_span,27,85,0.0,0.0,0.0,0.0,0.011764705882352941,0.9882352941176471,-0.7727941176470589,-0.7727941176470589
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,0,85,-13.692830882352942,13.692830882352942,14.15625,0.9529411764705882,0.9529411764705882,0.047058823529411764,12.919301470588236,-0.7735294117647059
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,1,85,-13.734375,13.734375,14.171875,0.9529411764705882,0.9529411764705882,0.047058823529411764,12.919301470588236,-0.8150735294117647
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,2,85,-13.735845588235295,13.735845588235295,14.15625,0.9529411764705882,0.9529411764705882,0.047058823529411764,12.919301470588236,-0.8165441176470588
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,3,85,-13.746875,13.746875,14.34375,0.9529411764705882,0.9529411764705882,0.047058823529411764,12.919301470588236,-0.8275735294117647
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,4,85,-13.723345588235293,13.723345588235293,14.3125,0.9647058823529412,0.9647058823529412,0.03529411764705882,12.919301470588236,-0.8040441176470589
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,5,85,-13.709375,13.709375,14.3125,0.9176470588235294,0.9176470588235294,0.08235294117647059,12.919301470588236,-0.7900735294117647
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,6,85,-13.55827205882353,13.55827205882353,14.21875,0.8352941176470589,0.8352941176470589,0.16470588235294117,12.919301470588236,-0.6389705882352941
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,7,85,-12.679963235294117,12.679963235294117,13.0625,0.36470588235294116,0.36470588235294116,0.6352941176470588,12.919301470588236,0.23933823529411766
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,8,85,-12.532536764705883,12.532536764705883,12.59375,0.3764705882352941,0.3764705882352941,0.6235294117647059,12.919301470588236,0.38676470588235295
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,9,85,-11.550183823529412,11.550183823529412,11.46875,0.23529411764705882,0.23529411764705882,0.7647058823529411,12.919301470588236,1.3691176470588236
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,10,85,-10.414889705882352,10.414889705882352,10.265625,0.09411764705882353,0.09411764705882353,0.9058823529411765,12.919301470588236,2.5044117647058823
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,11,85,-9.009007352941177,9.009007352941177,8.59375,0.011764705882352941,0.011764705882352941,0.9882352941176471,12.919301470588236,3.9102941176470587
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,12,85,-7.187316176470588,7.187316176470588,7.078125,0.0,0.0,1.0,12.919301470588236,5.7319852941176475
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,13,85,-5.16764705882353,5.16764705882353,5.140625,0.0,0.0,1.0,12.919301470588236,7.751654411764706
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,14,85,-3.696139705882353,3.696139705882353,3.703125,0.0,0.0,1.0,12.919301470588236,9.223161764705882
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,15,85,-2.1558823529411764,2.1558823529411764,2.0625,0.0,0.0,1.0,12.919301470588236,10.763419117647059
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,16,85,-1.3639705882352942,1.3639705882352942,1.28125,0.0,0.0,1.0,12.919301470588236,11.55533088235294
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,17,85,-0.7356617647058824,0.7356617647058824,0.6875,0.0,0.0,1.0,12.919301470588236,12.183639705882353
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,18,85,-0.06966911764705883,0.06966911764705883,0.078125,0.0,0.0,1.0,12.919301470588236,12.849632352941176
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,19,85,-0.03805147058823529,0.03805147058823529,0.03125,0.0,0.0,1.0,12.919301470588236,12.88125
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,20,85,-0.010845588235294117,0.010845588235294117,-0.0,0.0,0.0,1.0,12.919301470588236,12.908455882352941
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,21,85,-0.0033088235294117647,0.0033088235294117647,-0.0,0.0,0.0,1.0,12.919301470588236,12.915992647058824
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,22,85,-0.003860294117647059,0.003860294117647059,-0.0,0.0,0.0,1.0,12.919301470588236,12.915441176470589
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,23,85,-0.003676470588235294,0.003676470588235294,-0.0,0.0,0.0,1.0,12.919301470588236,12.915625
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,24,85,-0.0005514705882352941,0.0005514705882352941,-0.0,0.0,0.0,1.0,12.919301470588236,12.91875
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,25,85,-0.002022058823529412,0.002022058823529412,-0.0,0.0,0.0,1.0,12.919301470588236,12.917279411764707
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,26,85,-0.00625,0.00625,-0.0,0.0,0.0,1.0,12.919301470588236,12.913051470588234
base_to_ci,base,ci,both_span_AD,D_to_A,both_span,27,85,0.0,0.0,-0.0,0.0,0.0,1.0,12.919301470588236,12.919301470588236
base_to_ci,base,ci,final_AB,A_to_B,final,0,49,0.001913265306122449,0.001913265306122449,0.0,0.0,0.0,1.0,-0.4846938775510204,-0.48278061224489793
base_to_ci,base,ci,final_AB,A_to_B,final,1,49,-0.003826530612244898,-0.003826530612244898,0.0,0.0,0.0,1.0,-0.4846938775510204,-0.4885204081632653
